 	 192.168.18.9's load  	 192.168.18.8's load  	 192.168.18.7's load  	 192.168.18.6's load  	 192.168.18.5's load  	 192.168.18.4's load  	 192.168.18.3's load  	 192.168.18.2's load  	 192.168.18.1's load  	 192.168.18.0's load  	 192.168.18.13's load  	 192.168.18.12's load  	 192.168.18.11's load  	 192.168.18.10's load 
21:36:18 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0
21:36:19 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0
21:36:20 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0
21:36:21 	 3.22806489700868	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0
21:36:22 	 3.22806489700868	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 3.40262359257104	 2.7621611207026
21:36:23 	 3.22806489700868	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.92881794436479	 3.30886785312471	 3.40262359257104	 2.7621611207026
21:36:24 	 3.22806489700868	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 4.08916610638635	 2.84138745711074	 1.92881794436479	 3.30886785312471	 3.40262359257104	 2.7621611207026
21:36:25 	 3.22806489700868	 0.0	 0.0	 0.0	 0.0	 0.0	 2.1705097078172	 3.66360492878537	 4.08916610638635	 2.84138745711074	 1.92881794436479	 3.30886785312471	 3.40262359257104	 2.7621611207026
21:36:26 	 3.22806489700868	 0.0	 0.0	 0.0	 0.0	 2.71127920874135	 2.1705097078172	 3.66360492878537	 4.08916610638635	 2.84138745711074	 1.92881794436479	 3.30886785312471	 3.40262359257104	 2.7621611207026
21:36:27 	 3.22806489700868	 0.0	 0.0	 2.61668465511548	 3.81275156539035	 2.71127920874135	 2.1705097078172	 3.66360492878537	 4.08916610638635	 2.84138745711074	 1.92881794436479	 3.30886785312471	 3.40262359257104	 2.7621611207026
21:36:28 	 3.22806489700868	 3.32737633814103	 3.65751201565882	 2.61668465511548	 3.81275156539035	 2.71127920874135	 2.1705097078172	 3.66360492878537	 4.08916610638635	 2.84138745711074	 1.92881794436479	 3.30886785312471	 3.40262359257104	 2.7621611207026
