 	 cpu usage 	 io_usage 	 total traffic 	 total load
21:18:25 	 0 	 0 	 0 	 0.0
21:18:26 	 0 	 0 	 0 	 0.0
21:18:27 	 0 	 0 	 0 	 0.0
21:18:28 	 0 	 0 	 0 	 0.0
21:18:29 	 0 	 0 	 0 	 0.0
21:18:30 	 0 	 0 	 0 	 0.0
21:18:31 	 0 	 0 	 0 	 0.0
21:18:32 	 0 	 0 	 0 	 0.0
21:18:33 	 0 	 0 	 0 	 0.0
21:18:34 	 0 	 0 	 0 	 0.0
21:18:35 	 0 	 0 	 0 	 0.0
21:18:36 	 0 	 0 	 0 	 0.0
21:18:37 	 0 	 0 	 0 	 0.0
21:18:38 	 0 	 0 	 0 	 0.0
21:18:39 	 0 	 0 	 0 	 0.0
21:18:40 	 0 	 0 	 0 	 0.0
21:18:41 	 0 	 0 	 0 	 0.0
21:18:42 	 0 	 0 	 0 	 0.0
21:18:43 	 0 	 0 	 0 	 0.0
21:18:44 	 0 	 0 	 0 	 0.0
21:18:45 	 0 	 0 	 0 	 0.0
21:18:46 	 0 	 0 	 0 	 0.0
21:18:47 	 0 	 0 	 0 	 0.0
21:18:48 	 0 	 0 	 0 	 0.0
21:18:49 	 0 	 0 	 0 	 0.0
21:18:50 	 0 	 0 	 0 	 0.0
21:18:51 	 0 	 0 	 0 	 0.0
21:18:52 	 5.41054442727328 	 4.0030438394119 	 6.71700317992355 	 5.3852839684705
21:18:53 	 8.61615286760072 	 10.0729550755383 	 11.2010666143778 	 9.62658185627939
21:18:54 	 8.61615286760072 	 10.0729550755383 	 11.2010666143778 	 9.62658185627939
21:18:55 	 8.61615286760072 	 10.0729550755383 	 11.2010666143778 	 9.62658185627939
21:18:56 	 8.61615286760072 	 10.0729550755383 	 11.2010666143778 	 9.62658185627939
21:18:57 	 8.61615286760072 	 10.0729550755383 	 11.2010666143778 	 9.62658185627939
21:18:58 	 8.61615286760072 	 10.0729550755383 	 11.2010666143778 	 9.62658185627939
21:19:00 	 8.61615286760072 	 10.0729550755383 	 11.2010666143778 	 9.62658185627939
21:19:01 	 15.8502719977127 	 14.9073818586655 	 17.6266545638551 	 16.0586451044865
21:19:02 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:03 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:04 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:05 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:06 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:07 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:08 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:09 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:10 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:11 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:12 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:13 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:14 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:15 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:16 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:17 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:18 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:19 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:20 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:21 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:22 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:23 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:24 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:25 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:26 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:27 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:28 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:29 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:30 	 19.3652274091607 	 19.2202668273937 	 23.1015737490421 	 20.2630738486893
21:19:31 	 27.9518226288567 	 26.5559983321172 	 28.9315815380402 	 27.8478062819677
21:19:32 	 34.7491518827322 	 31.9332664280658 	 34.5403012873781 	 33.992967870227
21:19:33 	 34.7491518827322 	 31.9332664280658 	 34.5403012873781 	 33.992967870227
21:19:34 	 34.7491518827322 	 31.9332664280658 	 34.5403012873781 	 33.992967870227
21:19:35 	 34.7491518827322 	 31.9332664280658 	 34.5403012873781 	 33.992967870227
21:19:36 	 34.7491518827322 	 31.9332664280658 	 34.5403012873781 	 33.992967870227
21:19:37 	 34.7491518827322 	 31.9332664280658 	 34.5403012873781 	 33.992967870227
21:19:38 	 34.7491518827322 	 31.9332664280658 	 34.5403012873781 	 33.992967870227
21:19:39 	 34.7491518827322 	 31.9332664280658 	 34.5403012873781 	 33.992967870227
21:19:40 	 34.7491518827322 	 31.9332664280658 	 34.5403012873781 	 33.992967870227
21:19:41 	 34.7491518827322 	 31.9332664280658 	 34.5403012873781 	 33.992967870227
21:19:42 	 34.7491518827322 	 31.9332664280658 	 34.5403012873781 	 33.992967870227
21:19:43 	 34.7491518827322 	 31.9332664280658 	 34.5403012873781 	 33.992967870227
21:19:44 	 34.7491518827322 	 31.9332664280658 	 34.5403012873781 	 33.992967870227
21:19:45 	 34.7491518827322 	 31.9332664280658 	 34.5403012873781 	 33.992967870227
21:19:46 	 34.7491518827322 	 31.9332664280658 	 34.5403012873781 	 33.992967870227
21:19:47 	 34.7491518827322 	 31.9332664280658 	 34.5403012873781 	 33.992967870227
21:19:48 	 34.7491518827322 	 31.9332664280658 	 34.5403012873781 	 33.992967870227
21:19:49 	 34.7491518827322 	 31.9332664280658 	 34.5403012873781 	 33.992967870227
