 	 192.168.18.13's load  	 192.168.18.12's load  	 192.168.18.11's load  	 192.168.18.10's load  	 192.168.18.9's load  	 192.168.18.8's load  	 192.168.18.7's load  	 192.168.18.6's load  	 192.168.18.5's load  	 192.168.18.4's load  	 192.168.18.3's load  	 192.168.18.2's load  	 192.168.18.1's load  	 192.168.18.0's load 
22:02:27 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0
22:02:28 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0
22:02:29 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0
22:02:30 	 0.0	 0.0	 0.0	 0.0	 0.0	 2.60614928570924	 0.0	 0.0	 0.0	 0.0	 2.6968571902675	 0.0	 0.0	 0.0
22:02:31 	 0.0	 0.0	 3.67644917372145	 0.0	 0.0	 2.60614928570924	 0.0	 0.0	 0.0	 0.0	 5.11809162872561	 0.0	 0.0	 0.0
22:02:32 	 4.08094836193205	 0.0	 3.67644917372145	 0.0	 0.0	 2.60614928570924	 0.0	 0.0	 0.0	 0.0	 5.11809162872561	 0.0	 2.51796125182211	 0.0
22:02:33 	 4.08094836193205	 2.37885441038471	 3.67644917372145	 0.0	 4.67400204137195	 2.60614928570924	 0.0	 0.0	 0.0	 0.0	 5.11809162872561	 0.0	 2.51796125182211	 0.0
22:02:34 	 4.08094836193205	 2.37885441038471	 3.67644917372145	 0.0	 4.67400204137195	 6.26167825405139	 0.0	 3.73420994547765	 0.0	 0.0	 5.11809162872561	 0.0	 2.51796125182211	 0.0
22:02:35 	 4.08094836193205	 6.21608442138266	 3.67644917372145	 0.0	 7.8307283528864	 6.26167825405139	 0.0	 3.73420994547765	 0.0	 0.0	 5.11809162872561	 0.0	 2.51796125182211	 0.0
22:02:36 	 4.08094836193205	 6.21608442138266	 6.86913775564719	 0.0	 7.8307283528864	 6.26167825405139	 0.0	 3.73420994547765	 0.0	 0.0	 5.11809162872561	 3.80082782326925	 2.51796125182211	 0.0
