 	 cpu usage 	 io_usage 	 total traffic 	 total load
21:05:00 	 0 	 0 	 0 	 0.0
21:05:01 	 0 	 0 	 0 	 0.0
21:05:02 	 0 	 0 	 0 	 0.0
21:05:03 	 0 	 0 	 0 	 0.0
21:05:04 	 0 	 0 	 0 	 0.0
21:05:05 	 0 	 0 	 0 	 0.0
21:05:06 	 0 	 0 	 0 	 0.0
21:05:07 	 0 	 0 	 0 	 0.0
21:05:08 	 0 	 0 	 0 	 0.0
21:05:09 	 0 	 0 	 0 	 0.0
21:05:10 	 0 	 0 	 0 	 0.0
21:05:11 	 0 	 0 	 0 	 0.0
21:05:12 	 0 	 0 	 0 	 0.0
21:05:13 	 0 	 0 	 0 	 0.0
21:05:14 	 0 	 0 	 0 	 0.0
21:05:15 	 0 	 0 	 0 	 0.0
21:05:16 	 0 	 0 	 0 	 0.0
21:05:17 	 0 	 0 	 0 	 0.0
21:05:18 	 0 	 0 	 0 	 0.0
21:05:19 	 0 	 0 	 0 	 0.0
21:05:20 	 1.21388654757534 	 4.68523278218607 	 1.86228975903742 	 2.24382390909354
21:05:21 	 3.37165025705553 	 6.61795149229778 	 6.08837642967108 	 4.86240710901998
21:05:22 	 3.37165025705553 	 6.61795149229778 	 6.08837642967108 	 4.86240710901998
21:05:23 	 3.37165025705553 	 6.61795149229778 	 6.08837642967108 	 4.86240710901998
21:05:24 	 3.37165025705553 	 6.61795149229778 	 6.08837642967108 	 4.86240710901998
21:05:25 	 3.37165025705553 	 6.61795149229778 	 6.08837642967108 	 4.86240710901998
21:05:26 	 3.37165025705553 	 6.61795149229778 	 6.08837642967108 	 4.86240710901998
21:05:27 	 3.37165025705553 	 6.61795149229778 	 6.08837642967108 	 4.86240710901998
21:05:28 	 3.37165025705553 	 6.61795149229778 	 6.08837642967108 	 4.86240710901998
21:05:29 	 3.37165025705553 	 6.61795149229778 	 6.08837642967108 	 4.86240710901998
21:05:30 	 3.37165025705553 	 6.61795149229778 	 6.08837642967108 	 4.86240710901998
21:05:31 	 1.21388654757534 	 4.68523278218607 	 1.86228975903742 	 2.24382390909354
21:05:32 	 1.21388654757534 	 4.68523278218607 	 1.86228975903742 	 2.24382390909354
21:05:33 	 0 	 0 	 0 	 0.0
21:05:34 	 0 	 0 	 0 	 0.0
