 	 192.168.18.13's load  	 192.168.18.12's load  	 192.168.18.11's load  	 192.168.18.10's load  	 192.168.18.9's load  	 192.168.18.8's load  	 192.168.18.7's load  	 192.168.18.6's load  	 192.168.18.5's load  	 192.168.18.4's load  	 192.168.18.3's load  	 192.168.18.2's load  	 192.168.18.1's load  	 192.168.18.0's load 
21:12:00 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0
21:12:01 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0
21:12:02 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0
21:12:03 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0
21:12:04 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0
21:12:05 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 3.10241707355744
21:12:06 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 6.64806424182615	 3.10241707355744
21:12:07 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 5.61072964838813	 6.64806424182615	 3.10241707355744
21:12:08 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 4.71157582375964	 5.61072964838813	 6.64806424182615	 3.10241707355744
21:12:09 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 6.44099458036872	 4.71157582375964	 5.61072964838813	 6.64806424182615	 3.10241707355744
21:12:10 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 7.13595210804468	 6.44099458036872	 4.71157582375964	 5.61072964838813	 6.64806424182615	 3.10241707355744
21:12:11 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 6.87557050348933	 7.13595210804468	 6.44099458036872	 4.71157582375964	 5.61072964838813	 6.64806424182615	 3.10241707355744
21:12:12 	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 7.53193308098491	 6.87557050348933	 7.13595210804468	 6.44099458036872	 4.71157582375964	 5.61072964838813	 6.64806424182615	 3.10241707355744
21:12:13 	 0.0	 0.0	 0.0	 0.0	 0.0	 6.11225222830009	 7.53193308098491	 6.87557050348933	 7.13595210804468	 6.44099458036872	 4.71157582375964	 5.61072964838813	 6.64806424182615	 3.10241707355744
21:12:14 	 0.0	 0.0	 0.0	 0.0	 4.98507270347308	 6.11225222830009	 7.53193308098491	 6.87557050348933	 7.13595210804468	 6.44099458036872	 4.71157582375964	 5.61072964838813	 6.64806424182615	 3.10241707355744
21:12:15 	 0.0	 0.0	 0.0	 4.82068059469946	 4.98507270347308	 6.11225222830009	 7.53193308098491	 6.87557050348933	 7.13595210804468	 6.44099458036872	 4.71157582375964	 5.61072964838813	 6.64806424182615	 3.10241707355744
21:12:16 	 0.0	 0.0	 8.24206133785745	 4.82068059469946	 4.98507270347308	 6.11225222830009	 7.53193308098491	 6.87557050348933	 7.13595210804468	 6.44099458036872	 4.71157582375964	 5.61072964838813	 6.64806424182615	 3.10241707355744
21:12:17 	 0.0	 4.66350187494679	 8.24206133785745	 4.82068059469946	 4.98507270347308	 6.11225222830009	 7.53193308098491	 6.87557050348933	 7.13595210804468	 6.44099458036872	 4.71157582375964	 5.61072964838813	 6.64806424182615	 3.10241707355744
21:12:18 	 7.09825006575957	 4.66350187494679	 8.24206133785745	 4.82068059469946	 4.98507270347308	 6.11225222830009	 7.53193308098491	 6.87557050348933	 7.13595210804468	 6.44099458036872	 4.71157582375964	 5.61072964838813	 6.64806424182615	 3.10241707355744
21:12:19 	 7.09825006575957	 4.66350187494679	 8.24206133785745	 4.82068059469946	 4.98507270347308	 6.11225222830009	 7.53193308098491	 6.87557050348933	 7.13595210804468	 6.44099458036872	 4.71157582375964	 5.61072964838813	 6.64806424182615	 10.6862831170051
21:12:20 	 7.09825006575957	 10.3143837271426	 8.24206133785745	 4.82068059469946	 4.98507270347308	 6.11225222830009	 7.53193308098491	 6.87557050348933	 7.13595210804468	 6.44099458036872	 4.71157582375964	 5.61072964838813	 6.64806424182615	 10.6862831170051
21:12:21 	 7.09825006575957	 10.3143837271426	 8.24206133785745	 8.8000878879622	 4.98507270347308	 6.11225222830009	 7.53193308098491	 6.87557050348933	 7.13595210804468	 6.44099458036872	 4.71157582375964	 5.61072964838813	 6.64806424182615	 10.6862831170051
21:12:22 	 7.09825006575957	 10.3143837271426	 8.24206133785745	 8.8000878879622	 11.3209073652903	 6.11225222830009	 7.53193308098491	 6.87557050348933	 7.13595210804468	 6.44099458036872	 4.71157582375964	 5.61072964838813	 6.64806424182615	 10.6862831170051
21:12:23 	 7.09825006575957	 10.3143837271426	 8.24206133785745	 8.8000878879622	 11.3209073652903	 6.11225222830009	 7.53193308098491	 6.87557050348933	 7.13595210804468	 6.44099458036872	 10.4301026000955	 5.61072964838813	 6.64806424182615	 10.6862831170051
21:12:24 	 7.09825006575957	 10.3143837271426	 8.24206133785745	 8.8000878879622	 11.3209073652903	 6.11225222830009	 7.53193308098491	 6.87557050348933	 7.13595210804468	 6.44099458036872	 10.4301026000955	 11.7660744419077	 6.64806424182615	 10.6862831170051
21:12:25 	 11.8740141525191	 10.3143837271426	 8.24206133785745	 8.8000878879622	 11.3209073652903	 6.11225222830009	 7.53193308098491	 6.87557050348933	 7.13595210804468	 6.44099458036872	 10.4301026000955	 11.7660744419077	 6.64806424182615	 10.6862831170051
21:12:26 	 14.0441329666161	 10.3143837271426	 8.24206133785745	 8.8000878879622	 11.3209073652903	 9.05614446596611	 7.53193308098491	 6.87557050348933	 7.13595210804468	 6.44099458036872	 10.4301026000955	 11.7660744419077	 6.64806424182615	 10.6862831170051
21:12:27 	 14.0441329666161	 10.3143837271426	 8.24206133785745	 8.8000878879622	 11.3209073652903	 9.05614446596611	 7.53193308098491	 14.1662176501593	 7.13595210804468	 6.44099458036872	 10.4301026000955	 11.7660744419077	 6.64806424182615	 10.6862831170051
21:12:28 	 14.0441329666161	 10.3143837271426	 8.24206133785745	 8.8000878879622	 11.3209073652903	 9.05614446596611	 7.53193308098491	 14.1662176501593	 12.6480281916827	 6.44099458036872	 10.4301026000955	 11.7660744419077	 6.64806424182615	 10.6862831170051
21:12:29 	 14.0441329666161	 10.3143837271426	 8.24206133785745	 8.8000878879622	 11.3209073652903	 9.05614446596611	 7.53193308098491	 14.1662176501593	 12.6480281916827	 11.2853197733207	 10.4301026000955	 11.7660744419077	 6.64806424182615	 10.6862831170051
21:12:30 	 14.0441329666161	 10.3143837271426	 8.24206133785745	 8.8000878879622	 11.3209073652903	 9.05614446596611	 7.53193308098491	 14.1662176501593	 12.6480281916827	 11.2853197733207	 10.4301026000955	 11.7660744419077	 13.0422029967972	 10.6862831170051
21:12:31 	 14.0441329666161	 10.3143837271426	 8.24206133785745	 8.8000878879622	 11.3209073652903	 9.05614446596611	 13.1317493051556	 14.1662176501593	 12.6480281916827	 11.2853197733207	 10.4301026000955	 11.7660744419077	 13.0422029967972	 10.6862831170051
21:12:32 	 14.0441329666161	 10.3143837271426	 8.24206133785745	 8.8000878879622	 11.3209073652903	 11.3522021037148	 13.1317493051556	 14.1662176501593	 12.6480281916827	 11.2853197733207	 10.4301026000955	 11.7660744419077	 13.0422029967972	 10.6862831170051
21:12:33 	 14.0441329666161	 10.3143837271426	 8.24206133785745	 12.0757418567663	 11.3209073652903	 14.1671478614161	 13.1317493051556	 14.1662176501593	 12.6480281916827	 11.2853197733207	 10.4301026000955	 11.7660744419077	 13.0422029967972	 10.6862831170051
21:12:34 	 14.0441329666161	 10.3143837271426	 8.24206133785745	 19.2702759851507	 11.3209073652903	 14.1671478614161	 13.1317493051556	 14.1662176501593	 12.6480281916827	 11.2853197733207	 10.4301026000955	 11.7660744419077	 13.0422029967972	 10.6862831170051
21:12:35 	 14.0441329666161	 10.3143837271426	 13.3982496559304	 19.2702759851507	 11.3209073652903	 14.1671478614161	 13.1317493051556	 14.1662176501593	 12.6480281916827	 11.2853197733207	 10.4301026000955	 11.7660744419077	 13.0422029967972	 10.6862831170051
21:12:36 	 14.0441329666161	 10.3143837271426	 13.3982496559304	 19.2702759851507	 11.3209073652903	 14.1671478614161	 13.1317493051556	 14.1662176501593	 12.6480281916827	 17.6666974340554	 10.4301026000955	 11.7660744419077	 13.0422029967972	 10.6862831170051
21:12:37 	 14.0441329666161	 10.3143837271426	 13.3982496559304	 19.2702759851507	 11.3209073652903	 14.1671478614161	 13.1317493051556	 14.1662176501593	 12.6480281916827	 17.6666974340554	 17.2850527439029	 11.7660744419077	 13.0422029967972	 10.6862831170051
21:12:38 	 14.0441329666161	 17.2706402608722	 13.3982496559304	 19.2702759851507	 11.3209073652903	 14.1671478614161	 13.1317493051556	 14.1662176501593	 12.6480281916827	 17.6666974340554	 17.2850527439029	 11.7660744419077	 13.0422029967972	 10.6862831170051
21:12:39 	 14.0441329666161	 17.2706402608722	 13.3982496559304	 19.2702759851507	 11.3209073652903	 14.1671478614161	 13.1317493051556	 14.1662176501593	 12.6480281916827	 17.6666974340554	 17.2850527439029	 14.5094712273607	 13.0422029967972	 15.2505531189383
