 	 cpu usage 	 io_usage 	 total traffic 	 total load
22:36:40 	 0 	 0 	 0 	 0.0
22:36:41 	 0 	 0 	 0 	 0.0
22:36:42 	 0 	 0 	 0 	 0.0
22:36:43 	 0 	 0 	 0 	 0.0
22:36:44 	 0 	 0 	 0 	 0.0
22:36:45 	 0 	 0 	 0 	 0.0
22:36:46 	 0 	 0 	 0 	 0.0
22:36:47 	 0 	 0 	 0 	 0.0
22:36:48 	 0 	 0 	 0 	 0.0
22:36:49 	 0 	 0 	 0 	 0.0
22:36:50 	 0 	 0 	 0 	 0.0
22:36:51 	 2.68696087238716 	 4.93659241477354 	 2.55299472638921 	 3.21587722148427
22:36:52 	 2.68696087238716 	 4.93659241477354 	 2.55299472638921 	 3.21587722148427
22:36:53 	 2.68696087238716 	 4.93659241477354 	 2.55299472638921 	 3.21587722148427
22:36:54 	 2.68696087238716 	 4.93659241477354 	 2.55299472638921 	 3.21587722148427
22:36:55 	 2.68696087238716 	 4.93659241477354 	 2.55299472638921 	 3.21587722148427
22:36:56 	 4.78274087424048 	 9.19405653965392 	 4.67842187928804 	 5.85949004185573
22:36:57 	 2.09578000185332 	 4.25746412488038 	 2.12542715289883 	 2.64361282037146
22:36:58 	 2.09578000185332 	 4.25746412488038 	 2.12542715289883 	 2.64361282037146
22:36:59 	 2.09578000185332 	 4.25746412488038 	 2.12542715289883 	 2.64361282037146
22:37:00 	 2.09578000185332 	 4.25746412488038 	 2.12542715289883 	 2.64361282037146
22:37:01 	 2.09578000185332 	 4.25746412488038 	 2.12542715289883 	 2.64361282037146
22:37:02 	 2.09578000185332 	 4.25746412488038 	 2.12542715289883 	 2.64361282037146
22:37:03 	 0 	 0 	 0 	 0.0
22:37:04 	 5.07828428047092 	 6.05336226599205 	 6.01045430224378 	 5.55509628229442
22:37:05 	 5.07828428047092 	 6.05336226599205 	 6.01045430224378 	 5.55509628229442
22:37:06 	 5.07828428047092 	 6.05336226599205 	 6.01045430224378 	 5.55509628229442
22:37:07 	 5.07828428047092 	 6.05336226599205 	 6.01045430224378 	 5.55509628229442
22:37:08 	 3.74045921777026 	 4.74821836225358 	 3.99169332104159 	 4.05520752970892
22:37:09 	 3.74045921777026 	 4.74821836225358 	 3.99169332104159 	 4.05520752970892
22:37:10 	 3.74045921777026 	 4.74821836225358 	 3.99169332104159 	 4.05520752970892
22:37:11 	 3.74045921777026 	 4.74821836225358 	 3.99169332104159 	 4.05520752970892
22:37:12 	 3.74045921777026 	 4.74821836225358 	 3.99169332104159 	 4.05520752970892
22:37:13 	 3.74045921777026 	 4.74821836225358 	 3.99169332104159 	 4.05520752970892
22:37:14 	 0 	 0 	 0 	 0.0
22:37:15 	 3.34726034072533 	 3.8466703254896 	 1.0187287249341 	 2.88997993296859
22:37:16 	 3.34726034072533 	 3.8466703254896 	 1.0187287249341 	 2.88997993296859
22:37:17 	 3.34726034072533 	 3.8466703254896 	 1.0187287249341 	 2.88997993296859
22:37:18 	 3.34726034072533 	 3.8466703254896 	 1.0187287249341 	 2.88997993296859
22:37:19 	 2.13046361861035 	 1.53608557155696 	 1.14946304895843 	 1.73661896443402
22:37:20 	 2.13046361861035 	 1.53608557155696 	 1.14946304895843 	 1.73661896443402
22:37:21 	 4.09146017491757 	 4.40741121998022 	 5.6621324998464 	 4.56311601741544
22:37:22 	 4.09146017491757 	 4.40741121998022 	 5.6621324998464 	 4.56311601741544
22:37:23 	 4.09146017491757 	 4.40741121998022 	 5.6621324998464 	 4.56311601741544
22:37:24 	 1.96099655630722 	 2.87132564842326 	 4.51266945088797 	 2.82649705298142
22:37:25 	 1.96099655630722 	 2.87132564842326 	 4.51266945088797 	 2.82649705298142
22:37:26 	 1.96099655630722 	 2.87132564842326 	 4.51266945088797 	 2.82649705298142
22:37:27 	 1.96099655630722 	 2.87132564842326 	 4.51266945088797 	 2.82649705298142
22:37:28 	 1.96099655630722 	 2.87132564842326 	 4.51266945088797 	 2.82649705298142
22:37:29 	 1.96099655630722 	 2.87132564842326 	 4.51266945088797 	 2.82649705298142
22:37:30 	 1.96099655630722 	 2.87132564842326 	 4.51266945088797 	 2.82649705298142
22:37:31 	 1.96099655630722 	 2.87132564842326 	 4.51266945088797 	 2.82649705298142
22:37:32 	 1.96099655630722 	 2.87132564842326 	 4.51266945088797 	 2.82649705298142
22:37:33 	 1.96099655630722 	 2.87132564842326 	 4.51266945088797 	 2.82649705298142
22:37:34 	 1.96099655630722 	 2.87132564842326 	 4.51266945088797 	 2.82649705298142
22:37:36 	 1.1149450769202 	 1.79280947058248 	 2.15521593570032 	 1.5444788900308
22:37:37 	 1.1149450769202 	 1.79280947058248 	 2.15521593570032 	 1.5444788900308
22:37:38 	 5.67923513169706 	 4.67717564835553 	 5.13009578223047 	 5.29143542349503
22:37:39 	 5.67923513169706 	 4.67717564835553 	 5.13009578223047 	 5.29143542349503
22:37:40 	 5.67923513169706 	 4.67717564835553 	 5.13009578223047 	 5.29143542349503
22:37:41 	 5.67923513169706 	 4.67717564835553 	 5.13009578223047 	 5.29143542349503
22:37:42 	 1.1149450769202 	 1.79280947058248 	 2.15521593570032 	 1.5444788900308
22:37:43 	 1.1149450769202 	 1.79280947058248 	 2.15521593570032 	 1.5444788900308
22:37:44 	 3.29705768052277 	 2.89085078131735 	 5.79562732415494 	 3.82014836662946
22:37:45 	 2.18211260360257 	 1.09804131073487 	 3.64041138845462 	 2.27566947659866
22:37:46 	 2.18211260360257 	 1.09804131073487 	 3.64041138845462 	 2.27566947659866
22:37:47 	 2.18211260360257 	 1.09804131073487 	 3.64041138845462 	 2.27566947659866
22:37:48 	 3.73394474883333 	 2.36781250503378 	 8.33431770652952 	 4.54250492730749
22:37:49 	 3.73394474883333 	 2.36781250503378 	 8.33431770652952 	 4.54250492730749
22:37:50 	 3.73394474883333 	 2.36781250503378 	 8.33431770652952 	 4.54250492730749
22:37:51 	 3.73394474883333 	 2.36781250503378 	 8.33431770652952 	 4.54250492730749
22:37:52 	 3.73394474883333 	 2.36781250503378 	 8.33431770652952 	 4.54250492730749
22:37:53 	 3.73394474883333 	 2.36781250503378 	 8.33431770652952 	 4.54250492730749
22:37:54 	 1.55183214523076 	 1.26977119429891 	 4.6939063180749 	 2.26683545070883
22:37:55 	 1.55183214523076 	 1.26977119429891 	 4.6939063180749 	 2.26683545070883
22:37:56 	 1.55183214523076 	 1.26977119429891 	 4.6939063180749 	 2.26683545070883
22:37:57 	 1.55183214523076 	 1.26977119429891 	 4.6939063180749 	 2.26683545070883
22:37:58 	 1.55183214523076 	 1.26977119429891 	 4.6939063180749 	 2.26683545070883
22:37:59 	 0 	 0 	 0 	 0.0
22:38:00 	 0 	 0 	 0 	 0.0
22:38:01 	 2.35878865990905 	 1.73505907354935 	 2.78400038770638 	 2.30915919526846
22:38:02 	 2.35878865990905 	 1.73505907354935 	 2.78400038770638 	 2.30915919526846
22:38:03 	 2.35878865990905 	 1.73505907354935 	 2.78400038770638 	 2.30915919526846
22:38:04 	 2.35878865990905 	 1.73505907354935 	 2.78400038770638 	 2.30915919526846
22:38:05 	 2.35878865990905 	 1.73505907354935 	 2.78400038770638 	 2.30915919526846
22:38:06 	 2.35878865990905 	 1.73505907354935 	 2.78400038770638 	 2.30915919526846
22:38:07 	 2.35878865990905 	 1.73505907354935 	 2.78400038770638 	 2.30915919526846
22:38:08 	 4.94125442341693 	 2.00101972449158 	 2.57438963732672 	 3.61447955216304
22:38:09 	 4.94125442341693 	 2.00101972449158 	 2.57438963732672 	 3.61447955216304
22:38:10 	 4.94125442341693 	 2.00101972449158 	 2.57438963732672 	 3.61447955216304
22:38:11 	 4.94125442341693 	 2.00101972449158 	 2.57438963732672 	 3.61447955216304
22:38:12 	 4.94125442341693 	 2.00101972449158 	 2.57438963732672 	 3.61447955216304
22:38:13 	 4.94125442341693 	 2.00101972449158 	 2.57438963732672 	 3.61447955216304
22:38:14 	 4.94125442341693 	 2.00101972449158 	 2.57438963732672 	 3.61447955216304
22:38:15 	 4.94125442341693 	 2.00101972449158 	 2.57438963732672 	 3.61447955216304
22:38:16 	 4.94125442341693 	 2.00101972449158 	 2.57438963732672 	 3.61447955216304
22:38:17 	 4.94125442341693 	 2.00101972449158 	 2.57438963732672 	 3.61447955216304
22:38:18 	 4.94125442341693 	 2.00101972449158 	 2.57438963732672 	 3.61447955216304
22:38:19 	 4.94125442341693 	 2.00101972449158 	 2.57438963732672 	 3.61447955216304
22:38:20 	 0 	 0 	 0 	 0.0
22:38:21 	 1.30898345162547 	 4.02870561977674 	 1.5537582493845 	 2.05010769310304
22:38:22 	 1.30898345162547 	 4.02870561977674 	 1.5537582493845 	 2.05010769310304
22:38:23 	 6.21757737311261 	 6.09845763959914 	 5.70959341999723 	 6.0608014514554
22:38:24 	 6.21757737311261 	 6.09845763959914 	 5.70959341999723 	 6.0608014514554
22:38:25 	 4.90859392148714 	 2.0697520198224 	 4.15583517061273 	 4.01069375835235
22:38:26 	 4.90859392148714 	 2.0697520198224 	 4.15583517061273 	 4.01069375835235
22:38:27 	 4.90859392148714 	 2.0697520198224 	 4.15583517061273 	 4.01069375835235
22:38:28 	 4.90859392148714 	 2.0697520198224 	 4.15583517061273 	 4.01069375835235
22:38:29 	 4.90859392148714 	 2.0697520198224 	 4.15583517061273 	 4.01069375835235
22:38:30 	 4.90859392148714 	 2.0697520198224 	 4.15583517061273 	 4.01069375835235
22:38:31 	 4.90859392148714 	 2.0697520198224 	 4.15583517061273 	 4.01069375835235
22:38:32 	 4.90859392148714 	 2.0697520198224 	 4.15583517061273 	 4.01069375835235
22:38:33 	 4.90859392148714 	 2.0697520198224 	 4.15583517061273 	 4.01069375835235
22:38:34 	 4.90859392148714 	 2.0697520198224 	 4.15583517061273 	 4.01069375835235
22:38:35 	 4.46282167970495 	 2.11092695179948 	 1.14794724437588 	 3.04612938889632
22:38:36 	 4.46282167970495 	 2.11092695179948 	 1.14794724437588 	 3.04612938889632
22:38:37 	 7.94211937000004 	 7.02772975378912 	 4.96047969878506 	 6.96811204814357
22:38:38 	 7.94211937000004 	 7.02772975378912 	 4.96047969878506 	 6.96811204814357
22:38:39 	 7.94211937000004 	 7.02772975378912 	 4.96047969878506 	 6.96811204814357
22:38:40 	 7.94211937000004 	 7.02772975378912 	 4.96047969878506 	 6.96811204814357
22:38:41 	 7.94211937000004 	 7.02772975378912 	 4.96047969878506 	 6.96811204814357
22:38:42 	 7.94211937000004 	 7.02772975378912 	 4.96047969878506 	 6.96811204814357
22:38:43 	 7.94211937000004 	 7.02772975378912 	 4.96047969878506 	 6.96811204814357
22:38:44 	 7.94211937000004 	 7.02772975378912 	 4.96047969878506 	 6.96811204814357
22:38:45 	 3.47929769029509 	 4.91680280198964 	 3.81253245440918 	 3.92198265924725
22:38:46 	 3.47929769029509 	 4.91680280198964 	 3.81253245440918 	 3.92198265924725
22:38:47 	 4.40476895797384 	 4.07075944665486 	 4.62496522221553 	 4.37631564620452
22:38:48 	 4.40476895797384 	 4.07075944665486 	 4.62496522221553 	 4.37631564620452
22:38:49 	 4.40476895797384 	 4.07075944665486 	 4.62496522221553 	 4.37631564620452
22:38:50 	 4.40476895797384 	 4.07075944665486 	 4.62496522221553 	 4.37631564620452
22:38:51 	 4.40476895797384 	 4.07075944665486 	 4.62496522221553 	 4.37631564620452
22:38:52 	 4.40476895797384 	 4.07075944665486 	 4.62496522221553 	 4.37631564620452
22:38:53 	 4.40476895797384 	 4.07075944665486 	 4.62496522221553 	 4.37631564620452
22:38:54 	 4.40476895797384 	 4.07075944665486 	 4.62496522221553 	 4.37631564620452
22:38:55 	 0 	 0 	 0 	 0.0
22:38:56 	 2.45867408237341 	 3.87913972830969 	 2.18948930353802 	 2.74649429914863
22:38:57 	 5.84361078737294 	 8.71156420569809 	 3.37708338137641 	 5.9439672904551
22:38:58 	 5.84361078737294 	 8.71156420569809 	 3.37708338137641 	 5.9439672904551
22:38:59 	 5.84361078737294 	 8.71156420569809 	 3.37708338137641 	 5.9439672904551
22:39:00 	 5.84361078737294 	 8.71156420569809 	 3.37708338137641 	 5.9439672904551
22:39:01 	 5.84361078737294 	 8.71156420569809 	 3.37708338137641 	 5.9439672904551
22:39:02 	 5.84361078737294 	 8.71156420569809 	 3.37708338137641 	 5.9439672904551
22:39:03 	 5.84361078737294 	 8.71156420569809 	 3.37708338137641 	 5.9439672904551
22:39:04 	 5.84361078737294 	 8.71156420569809 	 3.37708338137641 	 5.9439672904551
22:39:05 	 2.45867408237341 	 3.87913972830969 	 2.18948930353802 	 2.74649429914863
22:39:06 	 2.45867408237341 	 3.87913972830969 	 2.18948930353802 	 2.74649429914863
22:39:07 	 4.28090505162967 	 3.00162159820246 	 3.68338298892154 	 3.81170367259584
22:39:08 	 4.28090505162967 	 3.00162159820246 	 3.68338298892154 	 3.81170367259584
22:39:09 	 4.28090505162967 	 3.00162159820246 	 3.68338298892154 	 3.81170367259584
22:39:10 	 4.28090505162967 	 3.00162159820246 	 3.68338298892154 	 3.81170367259584
22:39:11 	 4.28090505162967 	 3.00162159820246 	 3.68338298892154 	 3.81170367259584
22:39:12 	 4.28090505162967 	 3.00162159820246 	 3.68338298892154 	 3.81170367259584
22:39:13 	 0 	 0 	 0 	 0.0
22:39:14 	 2.03182255550161 	 3.39698428037768 	 2.65134199847913 	 2.52799284746501
22:39:15 	 3.52176623810208 	 7.99663156724172 	 6.35566208351467 	 5.34895653174014
22:39:16 	 3.52176623810208 	 7.99663156724172 	 6.35566208351467 	 5.34895653174014
22:39:17 	 3.52176623810208 	 7.99663156724172 	 6.35566208351467 	 5.34895653174014
22:39:18 	 3.52176623810208 	 7.99663156724172 	 6.35566208351467 	 5.34895653174014
22:39:19 	 3.52176623810208 	 7.99663156724172 	 6.35566208351467 	 5.34895653174014
